"","lhs","op","rhs","block","group","label","exo","est","se","z","pvalue","ci.lower","ci.upper","std.lv","std.all","std.nox","fmi"
"2","EF_BL","=~","MAT_Score.BL",1,1,"b1",0,1.23724347849934,0.00338588041703348,365.412633085057,0,1.23060727482599,1.24387968217268,5.18322882539467,0.595959496824668,0.595959496824668,0.0654095693838914
"4","EF_FU1","=~","MAT_Score.FU1",1,1,"b1",0,1.23724347849933,0.00338588041707405,365.412633080679,0,1.23060727482591,1.24387968217276,4.40001660269714,0.533043581935293,0.533043581935293,0.065409569423747
"6","MEM_BL","=~","COG_REYI_SCORE.BL",1,1,"d1",0,1.40194231175388,0.00348400269512046,402.394152483688,0,1.3951137919494,1.40877083155836,1.87066559969151,1,1,0.0944124356122553
"8","MEM_FU1","=~","COG_REYI_SCORE.FU1",1,1,"d1",0,1.40194231175388,0.00348400269512046,402.394152483688,0,1.3951137919494,1.40877083155836,2.01904645666534,1,1,0.0944124356118586
"9","EF_BL","~1","",1,1,"e1",0,23.2701163940051,0.383363615888327,60.6998562972227,0,22.518737513881,24.0214952741293,5.55460712275443,5.55460712275443,5.55460712275443,0.0343340528429354
"11","MEM_BL","~1","",1,1,"f1",0,4.53991326840391,0.0952131391092264,47.681583769608,0,4.35329894489483,4.726527591913,3.40236999264748,3.40236999264748,3.40236999264748,0.0386645435896745
"13","EF_BL","~~","EF_BL",1,1,"g1",0,12.7004801469642,0.39456898186023,32.1882376234612,0,11.9271391531016,13.4738211408269,0.723651925879807,0.723651925879807,0.723651925879807,0.0500084247437426
"15","MEM_BL","~~","MEM_BL",1,1,"h1",0,1.63266863943186,0.0233964471832023,69.7827591790966,0,1.58681244558659,1.67852483327713,0.916992993971999,0.916992993971999,0.916992993971999,0.0483642196175892
"25","Verbal_Fluency_Conservative.BL","~~","Verbal_Fluency_Conservative.FU1",1,1,"",0,11.6420510920199,0.41055888479325,28.3565927403634,0,10.8373704642922,12.4467317197476,11.6420510920199,0.458936955323754,0.458936955323754,0.135505862063526
"26","MAT_Score.BL","~~","MAT_Score.FU1",1,1,"",0,26.3692662997167,0.735124311911967,35.8704859469735,0,24.9284491242095,27.810083475224,26.3692662997167,0.540609910186033,0.540609910186033,0.142979739874729
"28","COG_REYII_SCORE.BL","~~","COG_REYII_SCORE.FU1",1,1,"",0,0.599497391314807,0.0236423971303757,25.356878492857,0,0.553159144431078,0.645835638198537,0.599497391314807,0.275737106975394,0.275737106975394,0.210672576221071
"29","Verbal_Fluency_Conservative.BL","~~","Verbal_Fluency_Conservative.BL",1,1,"i1",0,25.3674300074771,0.402807059974812,62.9766270955214,0,24.577942677208,26.1569173377462,25.3674300074771,0.591067834167575,0.591067834167575,0.0890406891366526
"30","Verbal_Fluency_Conservative.FU1","~~","Verbal_Fluency_Conservative.FU1",1,1,"i1",0,25.3674300074771,0.402807059974813,62.9766270955213,0,24.577942677208,26.1569173377462,25.3674300074771,0.667305041926013,0.667305041926013,0.0890406891366596
"31","MAT_Score.BL","~~","MAT_Score.BL",1,1,"j1",0,48.7768829295835,0.71299615911811,68.4111440234328,0,47.3794361365966,50.1743297225703,48.7768829295835,0.644832278144488,0.644832278144488,0.0788811576183365
"32","MAT_Score.FU1","~~","MAT_Score.FU1",1,1,"j1",0,48.7768829295835,0.712996159118109,68.4111440234329,0,47.3794361365966,50.1743297225703,48.7768829295835,0.715864539757592,0.715864539757592,0.0788811576183356
"33","COG_REYII_SCORE.BL","~~","COG_REYII_SCORE.BL",1,1,"k1",0,2.17416291151667,0.0223225341341831,97.3976744059409,0,2.13041154857,2.21791427446333,2.17416291151667,0.549777661185386,0.549777661185386,0.116083142626472
"34","COG_REYII_SCORE.FU1","~~","COG_REYII_SCORE.FU1",1,1,"k1",0,2.17416291151667,0.0223225341341831,97.3976744059411,0,2.13041154857001,2.21791427446334,2.17416291151667,0.511775398712803,0.511775398712803,0.116083142626472
"39","EF_DELTA","~1","",1,1,"l1",0,5.62593712230241,0.505359523374314,11.1325439851963,0,4.63545065724443,6.61642358736039,1.58196085231796,1.58196085231796,1.58196085231796,0.232212981129238
"40","EF_DELTA","~~","EF_DELTA",1,1,"m1",0,0.960034714427621,0.256404764026233,3.74421558848024,0.000180958227135264,0.457490611471713,1.46257881738353,0.0759081930499985,0.0759081930499985,0.0759081930499985,0.251262200847057
"41","MEM_DELTA","~1","",1,1,"n1",0,3.40836674070215,0.109787059470497,31.0452502976279,0,3.19318805817142,3.62354542323288,2.36662882718257,2.36662882718257,2.36662882718257,0.204522382196859
