"","lhs","op","rhs","block","group","label","exo","est","se","z","pvalue","ci.lower","ci.upper","std.lv","std.all","std.nox","fmi"
"2","EF_BL","=~","MAT_Score.BL",1,1,"b1",0,1.23722155650959,0.00338572623651573,365.422798561181,0,1.23058565502451,1.24385745799468,5.18380398269165,0.595947996496132,0.595947996496132,0.0654166076297731
"4","EF_FU1","=~","MAT_Score.FU1",1,1,"b1",0,1.2372215565096,0.00338572623650842,365.422798561971,0,1.23058565502453,1.24385745799467,4.40059569763858,0.533040040271999,0.533040040271999,0.0654166073944871
"6","MEM_BL","=~","COG_REYI_SCORE.BL",1,1,"d1",0,1.40194305558063,0.0034840075549344,402.393804684796,0,1.39511452625109,1.40877158491016,1.8706530131003,1,1,0.0944280597365941
"8","MEM_FU1","=~","COG_REYI_SCORE.FU1",1,1,"d1",0,1.40194305558063,0.00348400755494011,402.393804684138,0,1.39511452625108,1.40877158491018,2.01902595362437,1,1,0.0944280597276566
"9","EF_BL","~1","",1,1,"e1",0,23.2638603196635,0.383331657386093,60.6885966014333,0,22.5125440770527,24.0151765622742,5.55239927497619,5.55239927497619,5.55239927497619,0.0343709013742126
"11","MEM_BL","~1","",1,1,"f1",0,4.53921130411875,0.0952183812128927,47.6715865812697,0,4.35258670627528,4.72583590196223,3.40186861008261,3.40186861008261,3.40186861008261,0.0386441062125152
"13","EF_BL","~~","EF_BL",1,1,"g1",0,12.6910998795547,0.394459058581866,32.1734273898562,0,11.9179743313587,13.4642254277507,0.72293138016423,0.72293138016423,0.72293138016423,0.0501137220462603
"15","MEM_BL","~~","MEM_BL",1,1,"h1",0,1.63252095862238,0.0233945063213516,69.7822358889622,0,1.58666856879643,1.67837334844832,0.916923360409814,0.916923360409814,0.916923360409814,0.0483606458229178
"25","Verbal_Fluency_Conservative.BL","~~","Verbal_Fluency_Conservative.FU1",1,1,"",0,11.630437101746,0.410400199028904,28.3392579469166,0,10.8260674924013,12.4348067110908,11.630437101746,0.458679495425644,0.458679495425644,0.135495469364734
"26","MAT_Score.BL","~~","MAT_Score.FU1",1,1,"",0,26.3836652050488,0.735161123629869,35.8882758581942,0,24.9427758799002,27.8245545301973,26.3836652050488,0.540752720478482,0.540752720478482,0.143021366734695
"28","COG_REYII_SCORE.BL","~~","COG_REYII_SCORE.FU1",1,1,"",0,0.599498823806551,0.0236423932100525,25.3569432874355,0,0.553160584606514,0.645837063006588,0.599498823806551,0.275737666283179,0.275737666283179,0.210655689781724
"29","Verbal_Fluency_Conservative.BL","~~","Verbal_Fluency_Conservative.BL",1,1,"i1",0,25.3563484257199,0.402661448019064,62.9718801004248,0,24.5671464896398,26.1455503618001,25.3563484257199,0.590900008257681,0.590900008257681,0.0890494408454153
"30","Verbal_Fluency_Conservative.FU1","~~","Verbal_Fluency_Conservative.FU1",1,1,"i1",0,25.3563484257199,0.402661448019063,62.9718801004251,0,24.5671464896398,26.1455503618001,25.3563484257199,0.667141715960262,0.667141715960262,0.0890494408454122
"31","MAT_Score.BL","~~","MAT_Score.BL",1,1,"j1",0,48.7906287030851,0.71304356565048,68.425873331562,0,47.3930889950021,50.188168411168,48.7906287030851,0.644845985472246,0.644845985472246,0.0789438959286392
"32","MAT_Score.FU1","~~","MAT_Score.FU1",1,1,"j1",0,48.7906287030851,0.713043565650481,68.425873331562,0,47.3930889950021,50.1881684111681,48.7906287030851,0.715868315466826,0.715868315466826,0.0789438959286359
"33","COG_REYII_SCORE.BL","~~","COG_REYII_SCORE.BL",1,1,"k1",0,2.17416369655814,0.0223225447132615,97.3976634154302,0,2.13041231287686,2.21791508023941,2.17416369655814,0.549781344081347,0.549781344081347,0.11606116920955
"34","COG_REYII_SCORE.FU1","~~","COG_REYII_SCORE.FU1",1,1,"k1",0,2.17416369655814,0.0223225447132615,97.3976634154305,0,2.13041231287686,2.21791508023942,2.17416369655814,0.511780828684448,0.511780828684448,0.116061169209544
"41","EF_DELTA","~1","",1,1,"l1",0,5.63275557177827,0.505343453222646,11.1463907088484,0,4.64230060363878,6.62321053991776,4.23675928263129,4.23675928263129,4.23675928263129,0.232280413723816
"42","EF_DELTA","~~","EF_DELTA",1,1,"m1",0,0.955093332794362,0.256252647284155,3.72715498909665,0.000193653382127845,0.452847373174373,1.45733929241435,0.540345552295106,0.540345552295106,0.540345552295106,0.251338666112443
"43","MEM_DELTA","~1","",1,1,"n1",0,3.40755273458493,0.109777166248613,31.0406330481134,0,3.19239344241278,3.62271202675707,2.359646338118,2.359646338118,2.359646338118,0.204472827704304
"44","MEM_DELTA","~~","MEM_DELTA",1,1,"o1",0,1.49865152321347,0.0231876457955073,64.6314652392975,0,1.45320457256801,1.54409847385894,0.71863658105494,0.71863658105494,0.71863658105494,0.186064719927219
"45","EF_DELTA","~","EF_BL",1,1,"",0,-0.230736713539283,0.0177200938031594,-13.0211902996893,0,-0.265467459196147,-0.196005967882419,-0.727161168950983,-0.727161168950983,-0.727161168950983,0.233372249131447
"46","MEM_DELTA","~","MEM_BL",1,1,"",0,-0.57176926643991,0.0100767504184996,-56.7414337652164,0,-0.591519334341368,-0.552019198538452,-0.528308991533781,-0.528308991533781,-0.528308991533781,0.218043734775944
"47","MEM_BL","~~","EF_DELTA",1,1,"",0,0.141978353132203,0.0504063935949841,2.81667350124272,0.00485238262293985,0.0431836370954833,0.240773069168922,0.113702455784079,0.113702455784079,0.113702455784079,0.234152070486936
"48","EF_BL","~~","MEM_DELTA",1,1,"",0,0.781052326223372,0.0650154605743199,12.0133322032002,0,0.653624365059421,0.908480287387323,0.179093642502307,0.179093642502307,0.179093642502307,0.20934634116386
"49","EF_BL","~~","MEM_BL",1,1,"",0,1.49345082609967,0.0648622715560769,23.0249541107807,0,1.3663231098943,1.62057854230504,0.328104293608554,0.328104293608554,0.328104293608554,0.0521138169198292
